year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2023,SEDAN,BMW,M850i Coupe AT,4395.0,G,CBU,Germany,0,0,0,0,0,0,0,0,0,0,1,0,1
2023,SEDAN,MERCEDES-BENZ PC,GT 53 4MATIC+ (X290)*,3982.0,-,,,0,0,0,1,3,1,0,0,0,1,0,0,6
2023,SEDAN,MERCEDES-BENZ PC,Maybach S 580 (Z223)*,3982.0,-,,,1,0,1,0,2,2,0,1,1,3,0,0,11
2023,4X2,BMW,X3 sDrive20i G01 CKD AT,1998.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,BMW,X3 xDrive20i G01 CKD AT,1998.0,G,CKD,INA,23,24,2,7,33,7,1,18,10,12,3,13,153
2023,4X2,CHERY,TIGGO 8 PRO PREMIUM,2000.0,G,CKD,INA,43,64,46,60,32,42,31,51,35,28,34,25,491
2023,4X2,CHERY,TIGGO 8 PRO LUXURY,2000.0,G,CKD,INA,3,4,0,4,1,11,20,1,1,0,0,2,47
2023,4X2,DFSK,GLORY 560 1.8 A/T CVT LUXURY,1798.0,G,CKD,INA,0,0,0,0,0,1,2,6,2,6,0,0,17
2023,4X2,HONDA,New CR-V,2000.0,G,CKD,INA,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,4X2,HONDA,New CR-V,2000.0,G,CKD,INA,35,26,0,30,30,0,0,0,0,0,0,0,121
2023,4X2,HONDA,All New CR-V 2.0 e:HEV,2000.0,HEV,,,0,0,0,0,0,0,0,0,0,490,488,549,1527
2023,4X2,HYUNDAI - HMID,Kona EV,,BEV,CBU,South Korea,0,0,0,0,0,0,0,0,0,7,3,0,10
2023,4X2,HYUNDAI - HMID,Tucson,2000.0,G,CBU,South Korea,0,0,0,0,0,0,0,0,0,1,0,0,1
2023,4X2,HYUNDAI - HMID,Santa Fe D2.2 8DCT Style,2200.0,D,CBU,South Korea,1,0,0,0,0,0,0,0,0,0,0,0,1
2023,4X2,HYUNDAI - HMID,Santa Fe D2.2 8DCT Prime,2200.0,D,CBU,South Korea,15,11,6,6,1,0,1,0,0,1,0,0,41
2023,4X2,HYUNDAI - HMID,Santa Fe D2.2 8DCT Signature,2200.0,D,CBU,South Korea,28,53,45,32,42,38,23,43,43,18,19,23,407
2023,4X2,HYUNDAI - HMID,Santa Fe G2.5 6AT Style,2500.0,G,CBU,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,HYUNDAI - HMID,Santa Fe G2.5 6AT Prime,2500.0,G,CBU,South Korea,15,1,2,1,49,21,15,14,9,8,8,29,172
2023,4X2,HYUNDAI - HMID,Santa Fe G2.5 6AT Signature,2500.0,G,CBU,South Korea,38,67,9,36,28,22,13,18,17,4,6,4,262
2023,4X2,HYUNDAI - HMID,Palisade 2.2 CRDi,2200.0,D,CBU,South Korea,2,19,38,5,3,5,11,2,12,17,25,16,155
2023,4X2,HYUNDAI - HMID,Palisade 2.2 CRDi Signature,2200.0,D,CBU,South Korea,87,214,251,206,396,430,177,140,97,88,117,132,2335
2023,4X2,HYUNDAI - HMID,Staria Signature 7,2200.0,D,CBU,South Korea,1,8,14,5,3,3,1,3,0,3,3,6,50
2023,4X2,HYUNDAI - HMID,Staria Signature 9,2200.0,D,CBU,South Korea,8,11,7,7,7,9,7,10,4,7,14,5,96
2023,4X2,ISUZU,MU-X RBD1,2499.0,D,CBU,Thailand,0,0,1,0,0,1,0,0,99,0,2,0,103
2023,4X2,KIA,Grand Sedona,2199.0,G,CBU,Korea,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,KIA,Carnival,2151.0,D,CBU,Korea,0,2,0,0,0,0,0,0,0,0,0,0,2
2023,4X2,KIA,Carnival,2151.0,D,CBU,Korea,2,36,30,2,0,0,18,18,18,0,5,8,137
2023,4X2,LEXUS,NX 300,1998.0,G,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,LEXUS,NX 350h,1998.0,G,CBU,Japan,0,2,1,5,14,36,16,21,25,10,25,62,217
2023,4X2,LEXUS,NX 250,1998.0,G,CBU,Japan,2,9,8,5,6,3,1,0,0,0,0,0,34
2023,4X2,LEXUS,RX 300 F-Sport,1998.0,G,CBU,Japan,0,0,0,0,1,0,0,0,0,0,0,0,1
2023,4X2,LEXUS,UX 250h,1998.0,HYBRID,CBU,Japan,1,0,0,0,1,3,2,0,2,0,0,1,10
2023,4X2,LEXUS,UX 300e,,BEV,CBU,Japan,18,0,9,2,1,0,0,0,0,0,0,0,30
2023,4X2,LEXUS,RX 350h,2487.0,HYBRID,CBU,Japan,0,17,50,184,100,122,57,81,15,36,26,0,688
2023,4X2,LEXUS,RX 350h Luxury HEV,,HYBRID,CBU,Japan,0,0,0,0,0,0,0,0,50,5,19,51,125
2023,4X2,LEXUS,NX 450h+,,-,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,LEXUS,RZ 450e,,BEV,CBU,Japan,0,1,0,0,0,6,1,72,75,12,12,27,206
2023,4X2,LEXUS,RX 500h,,HYBRID,CBU,Japan,0,0,0,0,1,22,7,3,1,0,7,5,46
2023,4X2,MAZDA,CX-3 Pro,1998.0,G,CBU,Japan,9,16,8,3,8,2,2,4,0,2,1,3,58
2023,4X2,MAZDA,CX-3 Sport,1998.0,G,CBU,Japan,311,274,275,97,193,71,54,153,102,74,101,56,1761
2023,4X2,MAZDA,CX-5 Elite,2488.0,G,CBU,Japan,18,6,2,313,17,355,103,172,105,194,64,72,1421
2023,4X2,MAZDA,CX-30 GT,1998.0,G,CBU,Japan,10,46,25,35,3,39,31,44,38,7,3,23,304
2023,4X2,MAZDA,New CX-8 Elite,2488.0,G,CBU,Malaysia,19,19,1,21,19,0,47,32,38,2,38,20,256
2023,4X2,MAZDA,New CX-9,2488.0,G,CBU,Japan,10,3,30,11,5,2,6,6,6,6,2,5,92
2023,4X2,Mazda,3 Hatchback,1998.0,G,CBU,Japan,5,0,3,19,13,2,80,145,92,52,23,97,531
2023,4X2,Mazda,6 Elite Estate,2488.0,G,CBU,Japan,1,2,25,3,1,10,3,10,2,1,2,0,60
2023,4X2,MERCEDES-BENZ PC,AMG A 45 4MATIC (W177)*,2000.0,G,,,0,2,0,8,2,5,0,0,0,1,0,0,18
2023,4X2,MERCEDES-BENZ PC,M-AMG GLA 35,1595.0,G,,,3,3,0,4,10,5,4,15,9,4,8,7,72
2023,4X2,MERCEDES-BENZ PC,GLA 200,1991.0,G,CKD,INA,74,32,28,26,11,2,3,1,0,0,0,0,177
2023,4X2,MERCEDES-BENZ PC,GLC 200 AMG,1991.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,MERCEDES-BENZ PC,GLC 200 AMG ( FL ),1991.0,G,CKD,INA,0,1,0,1,0,1,0,0,0,0,0,0,3
2023,4X2,MERCEDES-BENZ PC,Seprinter,2143.0,G,CBU,Spain,0,0,0,0,0,0,0,0,1,9,9,24,43
2023,4X2,MINI,Cooper S Hatch A/T,1998.0,G,CBU,UK,6,0,16,1,13,6,8,7,10,14,5,6,92
2023,4X2,MINI,John Cooper Works Hatch A/T,1998.0,G,CBU,UK,0,0,3,0,25,1,8,7,9,5,0,1,59
2023,4X2,MINI,Cooper S 5 Door A/T,1998.0,G,CBU,UK,0,0,4,5,5,4,0,10,6,3,5,5,47
2023,4X2,MINI,Cooper S Clubman A/T,1998.0,G,CBU,UK,0,0,8,1,8,0,5,6,2,3,14,26,73
2023,4X2,MINI,Cooper S Convertible A/T,1998.0,G,CBU,Germany,0,0,25,1,11,11,8,8,16,15,5,5,105
2023,4X2,MINI,John Cooper Works Convertible A/T,1998.0,G,CBU,Germany,0,0,0,0,0,0,9,1,7,3,3,3,26
2023,4X2,MINI,Cooper S Countryman F60 CKD A/T,1998.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,MINI,Cooper S Countryman F60 CKD A/T,1998.0,G,CKD,INA,36,28,29,21,14,14,6,26,10,32,24,12,252
2023,4X2,MITSUBISHI MOTORS,Pajero Sport 2.4L DAKAR (4x2) 8AT,2442.0,D,CKD,INA,796,1004,1115,1019,610,676,484,802,817,702,542,682,9249
2023,4X2,MITSUBISHI MOTORS,Pajero Sport 2.4L DAKAR Utimate (4x2) 8AT,2442.0,D,CKD,INA,66,97,99,40,38,66,30,42,40,43,28,27,616
2023,4X2,MITSUBISHI MOTORS,Pajero Sport 2.5 E HP (4X2) 5 AT - DAKAR,2477.0,D,CBU,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,MITSUBISHI MOTORS,Pajero Sport 2.5 L EXCEED (4X2) 5AT,2477.0,D,CKD,INA,143,32,20,61,24,21,21,123,15,20,21,100,601
2023,4X2,MITSUBISHI MOTORS,Pajero Sport 2.5L EXCEED-H (4x2) 5MT,2477.0,D,CKD,INA,0,6,8,10,7,10,12,8,3,10,6,6,86
2023,4X2,MITSUBISHI MOTORS,Pajero Sport 2.5 L EXCEED (4X2) 5MT,2477.0,D,CBU,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4X2,NISSAN,All New Serena Highway Star 2.0 AT,1998.0,G,CBU,Japan,49,20,55,9,30,34,44,31,42,38,59,17,428
2023,4X2,PEUGEOT,NEW 3008 AT Allure Midlife,1598.0,G,CBU,Malaysia,6,7,16,4,10,2,5,4,7,3,1,0,65
2023,4X2,PEUGEOT,NEW 5008 AT Allure Midlife,1598.0,G,CBU,Malaysia,4,7,15,9,2,1,1,5,3,4,3,0,54
2023,4X2,PEUGEOT,NEW 3008 AT Active,1598.0,G,CBU,Malaysia,3,4,1,0,3,11,2,4,3,6,1,3,41
2023,4X2,PEUGEOT,NEW 5008 AT Active,1598.0,G,CBU,Malaysia,0,1,2,0,2,0,1,0,0,0,3,3,12
2023,4X2,TOYOTA,All New Kijang Innova G Mi 2020,1998.0,G,CKD,INA,0,1,0,0,0,0,0,0,0,0,0,0,1
2023,4X2,TOYOTA,All New Kijang Innova G DSL Mi 2020,2494.0,D,CKD,INA,298,655,394,188,446,143,679,920,583,913,1464,1057,7740
2023,4X2,TOYOTA,All New Kijang Innova G AT DSL Mi 2020,2494.0,D,CKD,INA,0,0,632,409,861,157,983,922,1019,1554,1887,2653,11077
2023,4X2,TOYOTA,All New Kijang Innova G Imp 2020,1998.0,G,CKD,INA,322,439,318,134,480,493,236,267,136,252,342,481,3900
2023,4X2,TOYOTA,All New Kijang Innova V AT Mi 2020,1998.0,G,CKD,INA,0,0,0,0,0,0,-1,0,0,0,0,0,-1
2023,4X2,TOYOTA,All New Kijang Innova V AT DSL Mi 2020,2494.0,D,CKD,INA,1,0,1,0,0,0,0,0,0,0,0,0,2
2023,4X2,TOYOTA,All New Kijang Innova Venturer Mi 2020,1998.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
